brand,model,price_usd,ram_gb,storage_gb,camera_mp,battery_mah,display_size_inch,charging_watt,5g_support,os,processor,rating,release_month,year,price_segment,value_score,camera_total_mp,performance_tier,battery_efficiency,screen_to_body_estimate
Apple,"iPhone 14 154",186,8,128,64,5500,6.1,120,Yes,iOS,"Snapdragon 7+ Gen 2",4.9,December,2025,Budget,0.0263,64,High,29.5699,87.00
Apple,"iPhone 14 260",275,16,256,12,6000,7.1,18,No,iOS,"Helio G99",4.1,July,2025,Budget,0.0149,12,Entry,21.8182,92.00
Apple,"iPhone 14 314",336,6,64,200,5000,5.6,33,No,iOS,"Exynos 2400",3.6,April,2025,Budget,0.0107,200,Flagship,14.8810,85.00
Apple,"iPhone 14 328",868,4,512,12,4500,7.2,44,No,iOS,"Snapdragon 6 Gen 1",4.6,December,2025,Premium,0.0053,12,Mid,5.1843,92.00
Apple,"iPhone 14 358",818,4,64,48,4000,7.1,33,No,iOS,"Tensor G4",5,December,2025,Premium,0.0061,48,High,4.8900,92.00
Apple,"iPhone 14 397",1077,8,128,48,6000,7.1,120,No,iOS,"Snapdragon 8 Gen 3",4.4,August,2025,Premium,0.0041,48,Flagship,5.5710,92.00
Apple,"iPhone 14 43",1058,4,256,50,4500,6.6,33,No,iOS,"Snapdragon 8 Gen 3",4.4,June,2025,Premium,0.0042,50,Flagship,4.2533,89.00
Apple,"iPhone 14 43",1058,6,64,48,5000,6.8,44,No,iOS,"Snapdragon 8 Gen 3",3.5,July,2025,Premium,0.0033,48,Flagship,4.7259,89.00
Apple,"iPhone 14 434",1127,12,64,108,5000,5.9,44,No,iOS,"Dimensity 9300",4.4,April,2025,Premium,0.0039,108,Flagship,4.4366,85.00
Apple,"iPhone 14 441",1129,12,512,64,4500,7.2,65,No,iOS,"Exynos 2400",4.2,August,2025,Premium,0.0037,64,Flagship,3.9858,92.00
Apple,"iPhone 14 47",266,12,512,12,5500,7.2,44,No,iOS,"Dimensity 9300",4.2,November,2025,Budget,0.0158,12,Flagship,20.6767,92.00
Apple,"iPhone 14 495",1058,4,128,108,5000,6.8,44,Yes,iOS,"Tensor G4",4.4,November,2025,Premium,0.0042,108,High,4.7259,89.00
Apple,"iPhone 14 545",497,4,128,50,4500,5.9,33,Yes,iOS,"Snapdragon 7+ Gen 2",3.8,October,2025,Mid-range,0.0076,50,High,9.0543,85.00
Apple,"iPhone 14 583",633,4,128,12,4500,6.9,120,Yes,iOS,"Snapdragon 6 Gen 1",4.1,July,2025,Mid-range,0.0065,12,Mid,7.1090,89.00
Apple,"iPhone 14 583",1291,16,1024,64,4500,6.8,100,Yes,iOS,"Dimensity 9300",3.9,November,2025,Flagship,0.0030,64,Flagship,3.4857,89.00
Apple,"iPhone 14 585",715,4,128,200,4000,6.1,100,Yes,iOS,"Exynos 2400",4.9,May,2025,Mid-range,0.0069,200,Flagship,5.5944,87.00
Apple,"iPhone 14 59",1386,8,256,200,4000,5.6,65,Yes,iOS,"Helio G99",3.9,September,2025,Flagship,0.0028,200,Entry,2.8860,85.00
Apple,"iPhone 14 712",628,6,64,64,5000,7.2,100,No,iOS,"Helio G99",3.7,February,2025,Mid-range,0.0059,64,Entry,7.9618,92.00
Apple,"iPhone 14 869",506,16,256,200,4500,6.6,44,No,iOS,"Snapdragon 8 Gen 3",4.1,December,2025,Mid-range,0.0081,200,Flagship,8.8933,89.00
Apple,"iPhone 14 91",853,8,512,50,4000,6.1,18,No,iOS,"Snapdragon 7+ Gen 2",3.7,June,2025,Premium,0.0043,50,High,4.6893,87.00
Apple,"iPhone 15 146",761,6,512,50,4000,5.6,65,No,iOS,"Snapdragon 8 Gen 3",3.7,November,2025,Mid-range,0.0049,50,Flagship,5.2562,85.00
Apple,"iPhone 15 23",824,4,512,108,4500,5.6,44,Yes,iOS,"Helio G99",4.8,July,2025,Premium,0.0058,108,Entry,5.4612,85.00
Apple,"iPhone 15 293",377,12,512,200,5000,7,44,Yes,iOS,"Helio G99",4.6,July,2025,Budget,0.0122,200,Entry,13.2626,92.00
Apple,"iPhone 15 325",1326,16,64,12,4000,6,120,No,iOS,"Snapdragon 8 Gen 3",3.9,February,2025,Flagship,0.0029,12,Flagship,3.0166,87.00
Apple,"iPhone 15 479",579,6,512,108,4000,6.1,120,Yes,iOS,"A18 Pro",4.7,July,2025,Mid-range,0.0081,108,Flagship,6.9085,87.00
Apple,"iPhone 15 551",1286,16,256,64,6000,6.4,18,No,iOS,"Exynos 2400",4.5,March,2025,Flagship,0.0035,64,Flagship,4.6656,87.00
Apple,"iPhone 15 557",1316,6,512,12,4000,6.6,44,Yes,iOS,"Exynos 2400",4,July,2025,Flagship,0.0030,12,Flagship,3.0395,89.00
Apple,"iPhone 15 620",225,4,1024,48,5000,7.2,65,Yes,iOS,"Snapdragon 8 Gen 3",3.9,October,2025,Budget,0.0173,48,Flagship,22.2222,92.00
Apple,"iPhone 15 723",170,6,512,48,5500,6.6,18,Yes,iOS,"Exynos 2400",4.9,December,2025,Budget,0.0288,48,Flagship,32.3529,89.00
Apple,"iPhone 15 744",126,6,1024,64,6000,5.5,100,No,iOS,"Exynos 2400",4.7,April,2025,Budget,0.0373,64,Flagship,47.6190,82.00
Apple,"iPhone 15 752",922,4,1024,108,5500,7,65,No,iOS,"Snapdragon 7+ Gen 2",4.4,November,2025,Premium,0.0048,108,High,5.9653,92.00
Apple,"iPhone 15 776",1210,16,64,50,5500,6.7,18,Yes,iOS,"A18 Pro",4.2,April,2025,Flagship,0.0035,50,Flagship,4.5455,89.00
Apple,"iPhone 15 867",1433,8,512,200,4000,6.4,100,No,iOS,"Exynos 2400",4.9,September,2025,Flagship,0.0034,200,Flagship,2.7913,87.00
Apple,"iPhone 15 98",1403,12,256,12,4500,6.1,33,Yes,iOS,"Snapdragon 7+ Gen 2",3.7,June,2025,Flagship,0.0026,12,High,3.2074,87.00
Apple,"iPhone 16 206",1302,6,512,64,5000,7,65,Yes,iOS,"Dimensity 9300",3.9,November,2025,Flagship,0.0030,64,Flagship,3.8402,92.00
Apple,"iPhone 16 207",1369,4,128,64,6000,6.5,120,No,iOS,"Helio G99",4.6,September,2025,Flagship,0.0034,64,Entry,4.3828,89.00
Apple,"iPhone 16 27",1163,12,128,108,6000,5.5,120,No,iOS,"Tensor G4",4.4,June,2025,Premium,0.0038,108,High,5.1591,82.00
Apple,"iPhone 16 293",582,12,512,200,6000,5.9,33,Yes,iOS,"Exynos 2400",4.4,September,2025,Mid-range,0.0076,200,Flagship,10.3093,85.00
Apple,"iPhone 16 384",1100,4,128,64,5500,6.1,44,Yes,iOS,"Snapdragon 7+ Gen 2",3.7,January,2025,Premium,0.0034,64,High,5.0000,87.00
Apple,"iPhone 16 388",1284,6,64,50,4000,5.9,100,No,iOS,"Snapdragon 6 Gen 1",4.1,November,2025,Flagship,0.0032,50,Mid,3.1153,85.00
Apple,"iPhone 16 577",727,6,64,50,4500,7.2,100,No,iOS,"Snapdragon 8 Gen 3",4.1,July,2025,Mid-range,0.0056,50,Flagship,6.1898,92.00
Apple,"iPhone 16 612",1163,4,512,64,4000,6.7,65,No,iOS,"Snapdragon 7+ Gen 2",4.3,August,2025,Premium,0.0037,64,High,3.4394,89.00
Apple,"iPhone 16 645",1233,6,128,12,4000,5.7,33,No,iOS,"Dimensity 9300",3.6,December,2025,Flagship,0.0029,12,Flagship,3.2441,85.00
Apple,"iPhone 16 660",937,4,1024,12,6000,6.3,100,Yes,iOS,"Helio G99",4.5,April,2025,Premium,0.0048,12,Entry,6.4034,87.00
Apple,"iPhone 16 714",1005,12,1024,12,5000,6.1,33,Yes,iOS,"Helio G99",4.6,May,2025,Premium,0.0046,12,Entry,4.9751,87.00
Apple,"iPhone 16 778",479,6,128,50,4000,6.8,44,No,iOS,"Snapdragon 6 Gen 1",4.3,November,2025,Mid-range,0.0090,50,Mid,8.3507,89.00
Apple,"iPhone 16 826",492,12,64,12,4500,6.6,33,No,iOS,"Snapdragon 6 Gen 1",4.1,September,2025,Mid-range,0.0083,12,Mid,9.1463,89.00
Apple,"iPhone 16 897",1273,6,512,12,4000,5.7,65,No,iOS,"Dimensity 9300",4.7,January,2025,Flagship,0.0037,12,Flagship,3.1422,85.00
Apple,"iPhone 16 945",356,6,256,12,6000,6.8,18,No,iOS,"Dimensity 9300",4.6,August,2025,Budget,0.0129,12,Flagship,16.8539,89.00
Apple,"iPhone 16 979",736,6,128,64,6000,7.1,18,Yes,iOS,"Tensor G4",3.7,July,2025,Mid-range,0.0050,64,High,8.1522,92.00
Apple,"iPhone 16 982",405,8,1024,50,5500,5.8,44,Yes,iOS,"Tensor G4",3.7,March,2025,Mid-range,0.0091,50,High,13.5802,85.00
Apple,"iPhone 16 Pro 121",731,16,64,64,5500,6.8,100,No,iOS,"Exynos 2400",4.6,May,2025,Mid-range,0.0063,64,Flagship,7.5239,89.00
Apple,"iPhone 16 Pro 141",661,4,256,200,4000,6.5,120,Yes,iOS,"Helio G99",4.5,December,2025,Mid-range,0.0068,200,Entry,6.0514,89.00
Apple,"iPhone 16 Pro 165",919,8,512,12,5500,7,33,No,iOS,"Dimensity 9300",4,December,2025,Premium,0.0044,12,Flagship,5.9848,92.00
Apple,"iPhone 16 Pro 166",1109,12,128,12,5500,6.6,65,No,iOS,"Dimensity 9300",3.6,August,2025,Premium,0.0032,12,Flagship,4.9594,89.00
Apple,"iPhone 16 Pro 19",442,6,256,108,5500,5.8,33,No,iOS,"Tensor G4",4.9,April,2025,Mid-range,0.0111,108,High,12.4434,85.00
Apple,"iPhone 16 Pro 225",1441,16,128,200,4000,7,65,No,iOS,"Snapdragon 8 Gen 3",4.4,October,2025,Flagship,0.0031,200,Flagship,2.7759,92.00
Apple,"iPhone 16 Pro 231",183,8,128,64,6000,7.2,120,Yes,iOS,"Snapdragon 6 Gen 1",4.3,July,2025,Budget,0.0235,64,Mid,32.7869,92.00
Apple,"iPhone 16 Pro 236",1460,12,64,200,6000,5.6,120,Yes,iOS,"A18 Pro",4.4,July,2025,Flagship,0.0030,200,Flagship,4.1096,85.00
Apple,"iPhone 16 Pro 238",873,6,256,50,6000,6,33,Yes,iOS,"A18 Pro",4.8,April,2025,Premium,0.0055,50,Flagship,6.8729,87.00
Apple,"iPhone 16 Pro 315",1188,8,512,48,4000,6.7,18,No,iOS,"Snapdragon 7+ Gen 2",4.7,July,2025,Premium,0.0040,48,High,3.3670,89.00
Apple,"iPhone 16 Pro 356",259,12,1024,64,5500,5.6,44,Yes,iOS,"Dimensity 9300",4.4,June,2025,Budget,0.0170,64,Flagship,21.2355,85.00
Apple,"iPhone 16 Pro 48",1182,6,512,200,4500,6.3,120,No,iOS,"Snapdragon 7+ Gen 2",4.6,June,2025,Premium,0.0039,200,High,3.8071,87.00
Apple,"iPhone 16 Pro 518",1043,4,1024,200,5500,5.6,65,No,iOS,"Exynos 2400",4.3,August,2025,Premium,0.0041,200,Flagship,5.2733,85.00
Apple,"iPhone 16 Pro 566",1014,16,64,12,4000,7,33,Yes,iOS,"Snapdragon 6 Gen 1",4.6,April,2025,Premium,0.0045,12,Mid,3.9448,92.00
